Product_ID,Product_Name,Category,Energy_Efficiency,Material,Recyclable,Eco_Certification,Carbon_Footprint,Water_Usage,End-of-Life_Disposal,Local_Sourcing,Sustainability_Label
1,Eco Lightbulb,Lighting,3.0,Recycled Glass,Yes,ENERGY STAR,10 kg,0.5,Recyclable,Yes,"Recyclable, Water Efficient, Certified Eco-Friendly"
2,Green Paint,Paint,2.0,Organic,Yes,Low VOC,5 kg,2.0,Recyclable,No,"Recyclable, Water Efficient, Certified Eco-Friendly"
3,Reclaimed Wood Table,Furniture,Unknown,Reclaimed Wood,Yes,FSC,20 kg,1.0,Recyclable,Yes,"Energy Efficiency Unknown, Recyclable, Water Efficient, Certified Eco-Friendly"
4,Solar Garden Light,Outdoor Lighting,3.0,Solar,Yes,ENERGY STAR,0 kg,0.0,Recyclable,Yes,"Recyclable, Water Efficient, Certified Eco-Friendly"
5,Low Flow Shower Head,Plumbing,2.0,Stainless Steel,Yes,WATER SENSE,1 kg,10.0,Recyclable,No,"Recyclable, Water Efficient, Certified Eco-Friendly"
6,Bamboo Flooring,Flooring,1.0,Bamboo,Yes,FSC,15 kg,1.0,Recyclable,Yes,"Sustainably Sourced, Recyclable, Water Efficient, Certified Eco-Friendly"
7,Solar Panel Kit,Energy,3.0,Silicon,Yes,ENERGY STAR,0 kg,0.0,Recyclable,Yes,"Recyclable, Water Efficient, Certified Eco-Friendly"
8,Compost Bin,Garden,Unknown,Recycled Plastic,Yes,USDA Organic,0 kg,1.0,Recyclable,Yes,"Energy Efficiency Unknown, Recyclable, Water Efficient, Certified Eco-Friendly"
9,Insulated Tool Set,Tools,Unknown,Stainless Steel,No,,10 kg,1.0,Non-Recyclable,No,"Energy Efficiency Unknown, Water Efficient, Certified Eco-Friendly"
10,Organic Cotton Drapes,Decor,Unknown,Organic Cotton,Yes,Fair Trade,8 kg,1.0,Recyclable,Yes,"Energy Efficiency Unknown, Recyclable, Water Efficient, Certified Eco-Friendly"
11,LED Flood Light,Lighting,3.0,Aluminium,Yes,ENERGY STAR,5 kg,1.0,Recyclable,Yes,"Recyclable, Water Efficient, Certified Eco-Friendly"
12,Eco-Friendly Tile,Flooring,1.0,Recycled Ceramic,Yes,GreenGuard,20 kg,3.0,Recyclable,No,"Recyclable, Water Efficient, Certified Eco-Friendly"
13,Rain Barrel,Garden,Unknown,Recycled Plastic,Yes,USDA Organic,0 kg,50.0,Recyclable,Yes,"Energy Efficiency Unknown, Recyclable, Certified Eco-Friendly"
14,Solar Charger,Energy,3.0,Solar,Yes,ENERGY STAR,0 kg,0.0,Recyclable,Yes,"Recyclable, Water Efficient, Certified Eco-Friendly"
15,Reclaimed Wood Shelf,Furniture,Unknown,Reclaimed Wood,Yes,FSC,12 kg,1.0,Recyclable,Yes,"Energy Efficiency Unknown, Recyclable, Water Efficient, Certified Eco-Friendly"
16,Low VOC Primer,Paint,2.0,Organic,Yes,Low VOC,5 kg,2.0,Recyclable,No,"Recyclable, Water Efficient, Certified Eco-Friendly"
17,Energy Efficient Fan,Energy,3.0,Plastic,Yes,ENERGY STAR,7 kg,1.0,Recyclable,No,"Recyclable, Water Efficient, Certified Eco-Friendly"
18,Recycled Plastic Rug,Decor,Unknown,Recycled Plastic,Yes,Cradle to Cradle,12 kg,1.0,Recyclable,Yes,"Energy Efficiency Unknown, Recyclable, Water Efficient, Certified Eco-Friendly"
19,Ceramic Planter,Garden,Unknown,Ceramic,No,,15 kg,1.0,Non-Recyclable,No,"Energy Efficiency Unknown, Water Efficient, Certified Eco-Friendly"
20,Organic Fertilizer,Garden,Unknown,Organic,Yes,USDA Organic,0 kg,1.0,Recyclable,Yes,"Energy Efficiency Unknown, Recyclable, Water Efficient, Certified Eco-Friendly"
21,Sustainable Tool Box,Tools,Unknown,Recycled Metal,Yes,Cradle to Cradle,10 kg,1.0,Recyclable,Yes,"Energy Efficiency Unknown, Recyclable, Water Efficient, Certified Eco-Friendly"
22,Water-Saving Faucet,Plumbing,2.0,Stainless Steel,Yes,WATER SENSE,3 kg,10.0,Recyclable,No,"Recyclable, Water Efficient, Certified Eco-Friendly"
23,Reclaimed Metal Shelf,Furniture,Unknown,Reclaimed Metal,Yes,FSC,15 kg,1.0,Recyclable,Yes,"Energy Efficiency Unknown, Recyclable, Water Efficient, Certified Eco-Friendly"
24,LED Desk Lamp,Lighting,3.0,Recycled Metal,Yes,ENERGY STAR,4 kg,0.5,Recyclable,Yes,"Recyclable, Water Efficient, Certified Eco-Friendly"
25,Organic Mattress,Decor,Unknown,Organic Cotton,Yes,GreenGuard,30 kg,1.0,Recyclable,Yes,"Energy Efficiency Unknown, Recyclable, Water Efficient, Certified Eco-Friendly"
26,Eco-Friendly Insulation,Tools,1.0,Recycled Fiber,Yes,ENERGY STAR,10 kg,1.0,Recyclable,Yes,"Recyclable, Water Efficient, Certified Eco-Friendly"
27,Recycled Glass Vase,Decor,Unknown,Recycled Glass,Yes,Cradle to Cradle,5 kg,1.0,Recyclable,Yes,"Energy Efficiency Unknown, Recyclable, Water Efficient, Certified Eco-Friendly"
28,Water Collection System,Garden,Unknown,Recycled Plastic,Yes,USDA Organic,0 kg,50.0,Recyclable,Yes,"Energy Efficiency Unknown, Recyclable, Certified Eco-Friendly"
29,Sustainable Cutlery Set,Tools,Unknown,Bamboo,Yes,Fair Trade,2 kg,1.0,Recyclable,Yes,"Energy Efficiency Unknown, Sustainably Sourced, Recyclable, Water Efficient, Certified Eco-Friendly"
30,Organic Pillow,Decor,Unknown,Organic Cotton,Yes,GreenGuard,2 kg,1.0,Recyclable,Yes,"Energy Efficiency Unknown, Recyclable, Water Efficient, Certified Eco-Friendly"
