User_ID,Recommended_Products
1,"Eco Lightbulb, Solar Charger, Green Paint, Eco-Friendly Insulation, Solar Garden Light"
2,"Eco Lightbulb, Solar Charger, Green Paint, Eco-Friendly Insulation, Solar Garden Light"
3,"Eco Lightbulb, Solar Charger, Green Paint, Eco-Friendly Insulation, Solar Garden Light"
4,"Organic Pillow, Organic Fertilizer, Reclaimed Wood Table, Low Flow Shower Head, Bamboo Flooring"
5,"Eco Lightbulb, Solar Charger, Green Paint, Eco-Friendly Insulation, Solar Garden Light"
6,"Eco Lightbulb, LED Desk Lamp, Solar Charger, Low VOC Primer, Energy Efficient Fan"
7,"Organic Pillow, Organic Fertilizer, Reclaimed Wood Table, Low Flow Shower Head, Bamboo Flooring"
8,"Eco Lightbulb, Solar Charger, Green Paint, Eco-Friendly Insulation, Solar Garden Light"
9,"Eco Lightbulb, Solar Charger, Green Paint, Eco-Friendly Insulation, Solar Garden Light"
10,"Organic Pillow, Organic Fertilizer, Reclaimed Wood Table, Low Flow Shower Head, Bamboo Flooring"
11,"Eco Lightbulb, Solar Charger, Green Paint, Eco-Friendly Insulation, Solar Garden Light"
12,"Eco Lightbulb, Solar Charger, Green Paint, Eco-Friendly Insulation, Solar Garden Light"
13,"Eco Lightbulb, Solar Charger, Green Paint, Eco-Friendly Insulation, Solar Garden Light"
14,"Organic Pillow, Organic Fertilizer, Reclaimed Wood Table, Low Flow Shower Head, Bamboo Flooring"
15,"Eco Lightbulb, Solar Panel Kit, Solar Charger, Green Paint, Eco-Friendly Insulation"
16,"Eco Lightbulb, LED Desk Lamp, Solar Charger, Low VOC Primer, Energy Efficient Fan"
17,"Eco Lightbulb, Solar Charger, Green Paint, Eco-Friendly Insulation, Solar Garden Light"
18,"Eco Lightbulb, Solar Charger, Green Paint, Eco-Friendly Insulation, Solar Garden Light"
19,"Eco Lightbulb, Solar Charger, Green Paint, Eco-Friendly Insulation, Solar Garden Light"
20,"Ceramic Planter, Insulated Tool Set, Eco Lightbulb, Solar Charger, Low VOC Primer"
21,"Organic Pillow, Organic Fertilizer, Reclaimed Wood Table, Low Flow Shower Head, Bamboo Flooring"
22,"Eco Lightbulb, Solar Charger, Green Paint, Eco-Friendly Insulation, Solar Garden Light"
23,"Eco Lightbulb, Solar Charger, Green Paint, Eco-Friendly Insulation, Solar Garden Light"
24,"Eco Lightbulb, Solar Charger, Green Paint, Eco-Friendly Insulation, Solar Garden Light"
25,"Eco Lightbulb, Solar Charger, Green Paint, Eco-Friendly Insulation, Solar Garden Light"
26,"Organic Pillow, Organic Fertilizer, Reclaimed Wood Table, Low Flow Shower Head, Bamboo Flooring"
27,"Eco Lightbulb, Solar Panel Kit, Solar Charger, Green Paint, Eco-Friendly Insulation"
28,"Eco Lightbulb, LED Desk Lamp, Solar Charger, Low VOC Primer, Energy Efficient Fan"
29,"Organic Pillow, Organic Fertilizer, Reclaimed Wood Table, Low Flow Shower Head, Bamboo Flooring"
30,"Eco Lightbulb, Solar Charger, Green Paint, Eco-Friendly Insulation, Solar Garden Light"
